,payer,denialreason,flowcharts
58,PPO One - United Healthcare Choice Plus,Incorrect NDC,"Claim denied due to incorrect NDC:

1. Review claim status in software
   - If no response received, proceed to step 2
   - If claim submitted and processed, proceed to step 3

2. Check EOB availability in Waystar
   - If no EOB available, proceed to step 3
   - If EOB available, review denial reason and proceed accordingly

3. Verify claim processing status in UHC Provider's Portal
   - Note the processing date and proceed to step 4

4. Check NDC lookup tool to verify correct NDC usage
   - Compare billed NDC with correct NDC
   - If incorrect, proceed to step 5
   - If correct, proceed to step 7

5. Change and send corrected claim electronically
   - Update NDC to the correct one
   - Send the corrected claim

6. Review contract to verify NDC requirements
   - Check if per diem codes (e.g., S9502, S9379) don't require NDC
   - If per diem code is billed without NDC, proceed to step 8
   - If NDC is required for other codes, proceed to step 5

7. If original claim was correct (NDC was already correct):
   - Call payer to inquire about denial
   - Explain the situation to the representative
   - Request reprocessing if appropriate
   - Note the case number or ticket number for follow-up

8. For per diem codes (e.g., S9500, S9338):
   - Send the corrected claim without NDC
   - Allow some time for processing

9. If claim still denied after correction:
   - Appeal the claim via the UHC provider portal
   - Include necessary documentation (e.g., patient medical records)
   - Note the appeal ticket number

10. Monitor appeal status
    - Check the UHC provider portal regularly
    - If appeal is upheld, proceed to step 11
    - If appeal is denied, review the decision and consider further action

11. If appeal is successful:
    - Post payment in the software once processed
    - Note the payment details (amount, VCC number, date)

12. If appeal is unsuccessful:
    - Review the denial reason
    - Consider requesting internal review or escalation
    - Document all actions taken for future reference

13. For recurring issues:
    - Compile data on denied claims due to incorrect NDC
    - Present findings to the management for process improvement

14. Time limits:
    - Remember the 1-year timeframe for sending corrected claims
    - Note any specific timelines for reprocessing or appeal

15. Documentation:
    - Keep detailed records of all actions taken
    - Store copies of corrected claims, appeals, and responses in the patient's file"
59,Medicaid of Virginia - Anthem HealthKeepers Plus,Non-covered charges/Services,"Claim denied due to non-covered charge per provider contract:

1. Review software denial (Caretend/Carepay) for code 99601/99602/S9590.
2. Check claim status in Waystar:
   - Verify denial reason and date.
   - Confirm denial code (e.g., N448, Co-256).
3. Review claim history:
   - Check if claim was previously sent back for reprocessing.
   - Verify if any payments were received for the same code in previous years.
4. Call Medicaid of Virginia - Anthem HealthKeepers Plus:
   - Inquire about denial reason and reprocessing status.
   - Ask representative to review claim and identify billable services.
   - Request reprocessing if appropriate.
5. If reprocessing is upheld:
   - Note the date of reprocessing.
   - Check for any comment posted by the insurance.
6. Verify fee schedule:
   - Review Medicaid of Virginia fee schedule for HCPCS codes.
   - Check if code 99601, 99602, or S9590 is listed.
7. If code is not listed:
   - Submit internal ticket to provider REP to confirm non-inclusion.
   - Allow 5-7 business days for confirmation.
8. If confirmation is received:
   - Note the confirmation email address.
   - Allow additional time for processing after confirmation.
9. Check for other active medical insurance:
   - Review insurance tab in software.
   - Verify if any other insurance is active for the DOS.
10. If no other insurance is active:
    - Task client to verify code listing on current fee schedule.
    - Instruct client to bill code to another active payer if not listed.
11. For corrected claims:
    - Update claim with SD modifier in software and Waystar.
    - Allow 60 days for processing of corrected claim.
12. If payment is received for other codes (e.g., G0299, T1030):
    - Contact representative to verify billability.
    - Instruct client to bill these codes with necessary authorization.
13. For claims with multiple denial reasons:
    - Address each reason separately following the above steps.
14. If all attempts to resolve denial are unsuccessful:
    - Raise an appeal with necessary documentation.
    - Consult with supervisor for further action.
15. Remember to upload all relevant documents to Vital Systems for record-keeping."
60,PPO One - United Healthcare Choice Plus,Charge exceeds fee schedule,"Claim denied due to charge exceeding fee schedule:

1. Review claim status in software (e.g., Payspan, Caretend, Vital Systems).
2. Check UHC portal or Medicare portal to verify claim status and processing details.
3. If claim is denied:
   a. Verify the specific denial reason (e.g., charge exceeds fee schedule, invalid NDC, missing NDC).
   b. Confirm if the billed code is a per diem code (e.g., S9590, S9501, J1555).
4. If claim is a per diem code:
   a. Inform the insurance representative that the billed code is a per diem code and NDC is not required.
   b. Request the representative to consult with the coding department for further guidance.
5. If claim is not a per diem code or NDC issue persists:
   a. Call the insurance (UHC or Medicare) to inquire about claim status and denial reason.
   b. Speak with a representative and provide clarification on the code type and NDC requirement.
   c. If the representative maintains the denial:
      i. Request claim reprocessing with a turnaround time of 15-30 calendar days.
   d. If the representative agrees to reprocess:
      i. Note the expected timeframe for reprocessing.
   e. If the representative needs additional information:
      i. Provide the necessary documentation or updates.
6. If claim reprocessing is unsuccessful:
   a. Review the reprocessing details and any reference numbers provided (e.g., D4305).
   b. If the claim was sent for reprocessing and upheld:
      i. Prepare for an appeal.
   c. If the claim was not reprocessed or was denied again:
      i. Consider submitting a corrected claim with the appropriate HCPC code (e.g., changing S9590 to S9500).
7. For all unsuccessful resolutions:
   a. Task the claim to the client for further action.
   b. Provide detailed instructions on the next steps, including any required documentation.
   c. Note the timely filing limit (TFL) for potential appeal.
   d. Document the appeal process, including mailing address, fax number, and deadline.
8. If applicable:
   a. Request the client to provide clinical records for an appeal.
   b. Prepare and submit an appeal within the timely filing limit.
   c. Mail the appeal to the specified address or fax to the provided number.
9. Follow up on all open claims:
   a. Set reminders for the reprocessing timeframe or appeal deadline.
   b. Check claim status regularly in the software and with the insurance.
   c. If no resolution is achieved, escalate to a supervisor for further assistance.
10. For recurring issues:
    a. Consider conducting a code review for all upcoming claims.
    b. Consult with the coding department to ensure accurate coding and NDC inclusion when necessary.
    c. Develop a process improvement plan to prevent similar denials in the future."
61,PPO One - Medicaid of Mississippi - United Healthc,Denied - For Primary / Secondary EOB,"Claim denied due to lack of primary payer information:

1. Review claim in software to check balance amount.

2. Check UHC portal to verify claim status, receipt date, and processing date.

3. Check previous DOS for payment history:
   - If a similar claim with payment is found (e.g., invoice#1366472), note the details.

4. Call PPO One - Medicaid of Mississippi - United Healthcare:
   - Speak with a representative (e.g., Victoria D, Fashon L, Walter N).
   - Confirm denial reason is due to missing primary EOB.

5. Determine if claim was billed correctly:
   - If billed after coverage termination, proceed to step 8.
   - If not billed after termination, continue to step 6.

6. Verify primary insurance information:
   - Check patient's insurance policy for primary payer details.
   - Look for primary payer name (e.g., Ambetter Mississippi, Magnolia Health plan, PPO One - United Healthcare Choice Plus).
   - Note the member ID (if available).

7. Attempt to verify primary payer information in UHC portal:
   - If claim is under UHSS, try to find primary information.
   - If found, proceed to step 9.
   - If not found, continue to step 8.

8. Confirm primary insurance status:
   - Call UHSS or primary insurance provider to verify effectiveness and status.
   - Note the effective date and termination date (if applicable).

9. Update claim information (if applicable):
   - Credit bill the claim to the correct primary insurance.
   - Create a new invoice in the software with the correct primary information.

10. If claim needs to be reprocessed:
    - Send the claim back for reprocessing.
    - Note the reprocessing ticket number.
    - Set a follow-up date to check on the status of the reprocessed claim.

11. If claim cannot be reprocessed:
    - Raise an appeal with necessary documentation.
    - Include proof of primary coverage and effective dates.
    - Submit the appeal and set a follow-up date.

12. For ongoing issues:
    - Consider conducting a peer-to-peer review with the payer.
    - Evaluate if process improvements are needed to prevent similar denials in the future.

13. Document all actions taken in the claim notes:
    - Include representative names, call reference numbers, and important conversation details.
    - Note any pending actions or follow-ups required.

14. Set a reminder to check on the status of the reprocessed claim or appeal:
    - Date: Typically 10-14 business days after submission.
    - Action: Review claim status in the software and UHC portal. If not resolved, repeat process from step 4."
62,PPO One - Medicaid of Tennessee - United Healthcar,Past TFL,"Claim denied due to Time Limit for Filing (TFL) expiration:

1. Review claim status in Waystar or relevant system.
   - Confirm denial reason is Co-29: The time limit for filing has expired.

2. Check claim submission date and denial date.
   - Note the exact dates of submission and denial.

3. Call Medicaid of Tennessee - Amerigroup (or relevant phone number).
   - Confirm denial reason and details.
   - Ask for specific information on appeal process if applicable.

4. Verify previous billing in Caretend or relevant system.
   - Check if similar dates (e.g., 09/22/2022 - 10/04/2022) were previously billed under a different provider.
   - Confirm if the previously billed claim was within the TFL.

5. If previously billed claim was within TFL:
   a. Submit an appeal for the current claim.
      - Include medical records to prove medically necessity through UHC webportal.
   b. Request the auditor to review the situation based on the previously billed claim.

6. If previously billed claim was outside TFL or not found:
   a. Submit a corrected claim with the correct provider information.
      - Ensure the corrected claim is within the TFL.
   b. If the corrected claim is denied, proceed to step 3 for appeal.

7. For both scenarios (5 and 6):
   a. Call the representative of the insurance company.
      - Explain the situation and request a review of the denial.
   b. If the representative agrees to review, no further action is needed.
   c. If the representative doesn't agree to review, proceed to step 8.

8. Submit an appeal for the denied claim.
   - Include all relevant medical records and documentation of medically necessity.
   - Use the UHC webportal for submission if applicable.

9. Document all actions taken in the claim notes:
   - Include dates, phone numbers called, names of representatives spoken to, and details of all conversations.

10. If additional information or action is required:
    a. Follow up with the insurance company as needed.
    b. Consult with a supervisor for further guidance if applicable.

11. Once the claim is resolved:
    a. Update the status in all relevant systems (Waystar, Caretend, etc.).
    b. Note the resolution method in the claim notes.

12. For future reference:
    a. Create a list of providers whose claims were previously billed within the TFL.
    b. Set reminders to check for similar situations in the future."
63,Humana,Incorrect NDC,"Claim denied due to incorrect National Drug Code (NDC):

1. Review claim status in software
   - Check if claim has been billed to Humana and received denial

2. Verify EOB in Waystar
   - Confirm claim has been processed and denied
   - Note the date of denial

3. Check Compounding records
   - Verify the NDC code used

4. Review invoice
   - Confirm the NDC code billed matches Compounding records

5. Check reimbursementcode.com
   - Verify if NDC number is listed under the billed HCPCS code
   - If not found, check if NDC is listed under J3490 (Unclassified drugs)

6. If NDC is found in reimbursementcode.com but under J3490:
   - Task claim to client to request valid NDC code or procedure code
   - Need valid NDC code or valid Procedure code to send corrected claim

7. If NDC is not found in reimbursementcode.com:
   - Check Availity RC Tool for NDC code verification
   - If NDC is listed for J3490, follow step 6
   - If not listed, proceed to step 8

8. Review previous invoices for similar claims
   - Look for instances where the same HCPCS code was used successfully with a different NDC
   - Note any successful payments for the same drug with different NDC codes and units

9. If finding successful payments with different NDCs:
   - Task client to submit corrected claim with valid NDC from successful payment
   - Ensure HCPCS units and NDC units match the successful payment

10. If no successful payments found:
    - Call Humana to inquire about denial
    - Explain the situation and provide all obtained information
    - Request claim reprocessing if valid NDC used
    - If valid NDC confirmed, ask for claim to be sent back for reprocessing
    - Note the case number if claim is sent back for reprocessing

11. If valid NDC is confirmed but denial persists:
    - Place Adjustment form in Connect for contractual adjustment if applicable
    - Upload documents packet in Vital Systems for record-keeping

12. If claim is denied for an invalid NDC that was actually valid:
    - Check NDC in NPI Lookup to verify validity
    - If valid, call Humana to resolve discrepancy
    - Rebill with the valid NDC found in NPI Lookup

13. For J1170 or J3010 claims with NDC 62991-3092-04:
    - Check if payment was received for the same drug with NDC 51552-0682-04 or similar
    - If yes, task client to submit corrected claim with this NDC instead

14. For J2274 claims with NDC 62991-1403-03:
    - Check if payment was received after changing HCPCS to J3490
    - If yes, task client to submit corrected claim with HCPCS J3490 and NDC 62991-1403-03

15. If all attempts to resolve denial are unsuccessful:
    - Place medical record form in Connect to request additional information
    - Specify Payer ID (e.g., #61101)

16. For claims with multiple denial reasons (e.g., NDC and HCPCS):
    - Address each reason separately following the above steps
    - If multiple valid solutions found, task client to submit corrected claim with all appropriate changes

17. Resubmission guidelines:
    - Corrected claims are within 12 months from DOS
    - If no payment received for the original HCPCS, use J3490 as a fallback

18. Follow up:
    - Check claim status after 15-30 days for reprocessing
    - If no resolution, escalate to supervisor or specialized team"
64,WellMed,Invalid  or Missing HCPCS/DX/POS/MOD,"Claim denied due to invalid procedure code:

1. Review claim status in software
   - Check if claim has been billed to UHC Wellmed or originally to UHC and credit rebilled to Wellmed

2. If no response received:
   - Call Wellmed to inquire about claim status
   - Verify claim receipt, processing, and denial dates
   - Confirm denial reason as invalid procedure code

3. Identify invalid procedure code
   - Check HCPCS code(s) used
   - Verify if code is valid for Medicare guidelines

4. If invalid code:
   a. Task client to bill claim with valid procedure code
      - Provide Medicare guidelines for correct coding
   b. Note correction details
      - Document corrected claim timeline (1 year from denied date)
      - Record Payer ID (if applicable)

5. If valid code:
   a. Check for missing or incorrect modifiers
      - Verify modifier usage in Medicare guidelines
   b. If modifiers are correct:
      - Review claim for any other potential issues
      - Consider appeal process

6. For corrected claims:
   - Ensure client sends corrected claim with valid procedure code
   - Verify corrected claim timeline (1 year from denied date)

7. If multiple attempts fail:
   - Consult with supervisor for further guidance
   - Consider appeal process with supporting documentation

8. Document all actions:
   - Record call details, representative names, and denial reasons
   - Update claim notes in software
   - Upload relevant documents to Vital Systems (if applicable)

9. Set follow-up:
   - Monitor claim status after resubmission
   - Schedule additional actions if necessary

10. If persistent issues arise:
    - Review provider contract for specific coding requirements
    - Consider education sessions for the team on Medicare guidelines

11. For complex cases:
    - Consult with specialized team members or experts
    - Develop customized solutions based on unique circumstances

12. Regularly review and update:
    - Stay current with Medicare guideline changes
    - Adjust processes as needed to ensure compliance"
65,Medicaid of Mississippi - Secondary,Credential Issue,"Claim denied due to invalid credentialing data (incorrect Taxonomy code):

1. Review claim status in software (Payspan) and Waystar.
2. Check if claim was processed and denied as PI-B7.
3. Verify the denial reason with Medicaid of Mississippi - Secondary.
4. If denial is confirmed due to incorrect Taxonomy code:
   a. Check NPPES NPI registry to verify the correct Taxonomy code.
   b. If correct Taxonomy code (332B00000X) is found, proceed to step 5.
   c. If correct Taxonomy code is not found, task client to verify the billed Taxonomy code and contact the provider REP/biller.
5. Correct the claim with the correct Taxonomy code (332B00000X).
6. Note that the corrected claim timely filing limit (TFL) is 365 days from the Date of Service (DOS).
7. If the original claim is within the timely filing limit, proceed to step 8.
8. If the original claim is outside the timely filing limit, consider appealing the original denial.
9. Task the client to send the corrected claim with the updated Taxonomy code.
10. Inform the client that the software cannot edit the Taxonomy code.
11. If the claim is for a procedure not listed in the Medicaid of MS fee schedule:
    a. Check payment history for different member per diem codes.
    b. If no payments are received for the code, proceed to step 12.
    c. If payments are received for similar codes, use kit codes instead.
12. Task the client to send a fresh claim with appropriate Kit codes for the service.
13. For fresh claims, ensure the timely filing limit is 1 year from the DOS.
14. If the original claim is not yet paid, the fresh claim won't be denied as a duplicate.
15. Upload all relevant documents to Vital Systems for record-keeping.
16. If the denial persists after correcting the Taxonomy code:
    a. Verify the rendering provider's NPI and taxonomy code in Waystar.
    b. Check the provider's certification/eligibility for the procedure/service.
    c. If the provider is not eligible, task the client to contact the provider for further instructions.
17. Consider appealing the denial if all corrections are made within the allowed timeframe.
18. Monitor the claim status after resubmission or correction.
19. If additional issues arise, repeat the process from the relevant step or escalate to a supervisor."
66,Blue Cross of Arkansas - Medicare Advantage HMO/PP,Invalid  or Missing HCPCS/DX/POS/MOD,"Claim denied due to invalid combination of HCPCS modifiers:

1. Review claim status in software
   - If claim shows as denied, proceed to step 2
   - If no response received, proceed to step 3

2. Check in Waystar for EOB
   - If EOB found, note denial reason and date
   - If EOB not found, proceed to step 3

3. Call BCBS of AR to inquire about denial
   - For HCPCS J0696, check if denied due to exceeding frequency limit
   - For HCPCS S9500/S9501, verify if denied due to invalid combination of modifiers
   - Note any specific information provided by representative

4. Verify billing in DT (if applicable)
   - Check if valid units were billed for HCPCS codes in question

5. Review plan details in Availity
   - Confirm if plan is MED ADV LPPO (MAPPO) or MED ADV HMO (USHMO)

6. Determine appropriate action:
   a. If claim involves HCPCS J0696 and denial is due to frequency limit:
      - Task claim to client to submit corrected claim with valid Kit code
   b. If claim involves HCPCS S9500/S9501 and denial is due to invalid modifiers:
      - Task claim to client to submit corrected claim with valid Kit code
   c. If claim involves Nursing code (e.g., 99601, 99602):
      - Task claim to client to resubmit with valid Nursing code under Medicare guidelines

7. For appeals already submitted:
   - Check billing note history for appeal submission date
   - Call insurance to inquire about appeal status
   - If appeal is upheld, provide specific reason given by representative

8. General instructions for corrected claims:
   - Change per diem codes to appropriate Kit codes
   - Resubmit as corrected claim
   - Note: Timely Filing Limit (TFL) for corrected claims is 365 days from denial date

9. Special cases:
   a. If claim involves multiple HCPCS codes with different issues:
      - Address each issue separately as outlined above
   b. If claim denial is unclear:
      - Repeat steps 3-5 to gather more information
   c. If appeal process is initiated but denial persists:
      - Consider escalating to supervisor or specialized department

10. Follow-up:
    - Set reminder to check on claim status after resubmission
    - If denial persists after corrected claim, restart process from step 3"
67,Medicaid of Alabama,Claim/service lacks information,"Claim denied due to missing/incomplete/invalid billing provider/supplier primary identifier:

1. Review claim status in software
   - Confirm denial reason is ""Claim/service lacks information which is needed for adjudication""

2. Check in Waystar
   - Locate and review the EOB

3. Examine claim form image
   - Verify if Primary Identifier# is missing

4. If Primary Identifier# is missing:
   a. Check provider report
      - Search for Primary Identifier#
      - If found, note the Primary Identifier# (e.g., 185338)

5. If Primary Identifier# is found:
   a. Task client
      - Request to add Primary Identifier# (e.g., 185338)
      - Instruct to resubmit as a Corrected Claim

6. If Primary Identifier# is not found in provider report:
   a. Contact provider to obtain Primary Identifier#
   b. Once obtained, proceed with step 5

7. Check Time Frame for Filing (TFL) for Corrected Claim
   - If within 180 days from the Date of Denial, proceed with resubmission
   - If beyond 180 days, consider appeal options

8. Monitor claim status after resubmission
   - If approved, process payment
   - If denied again, review new denial reason and repeat process or consider appeal

9. For recurring issues:
   a. Educate client on the importance of including Primary Identifier#
   b. Implement a pre-submission checklist to ensure all required information is included

10. Document all actions taken in the claim notes for future reference

11. If unable to resolve or obtain Primary Identifier#:
    a. Consider contacting Medicaid of Alabama for guidance
    b. Explore alternative resolution methods or appeal process

12. Regularly review and update internal processes to prevent similar denials in the future"
68,PPO One - United Healthcare Choice Plus,Claim submitted to incorrect payer,"Claim denied due to incorrect payer:

1. Review claim status in software
   - Confirm claim billed to UHC and denial posted

2. Check UHC portal
   - Verify payment status and claim details
   - If claim shows as paid, note payment date and status

3. Call UHC customer service
   - Inquire about denial reason and payment status
   - If representative can't find valid denial reason or payment, request manual review

4. If manual review is requested:
   - Allow 15 business days for processing
   - After manual review period, check claim status again
   - If still unresolved, escalate to supervisor

5. If claim shows processed and denied in UHC portal:
   - Check patient eligibility in UHC portal
   - Verify if patient has a delegated plan (e.g., Optum)
   - If delegated plan, check claim status in delegated payer's portal (e.g., Optum)

6. If claim is processed in delegated payer's portal:
   - Note claim details (claim number, allowed amount, payment, and co-insurance)
   - Check previous payments for the same code
   - If similar payments received, place contractual adjustment in software
   - Task the claim to the client for balance adjustment

7. If payment discrepancy is found:
   - Place contractual adjustment in software for the difference
   - Task the claim to the client for adjustment

8. For claims transferred to proper payer:
   - Document the new payer and claim number
   - Update the claim status in the software
   - Monitor the claim in the new payer's portal

9. If claim remains unresolved after all steps:
   - Escalate to a supervisor
   - Consider filing a formal appeal if necessary

10. Throughout the process:
    - Keep detailed notes of all actions taken
    - Update the claim status in the software after each step
    - Inform the client of any updates or required actions"
69,Blue Cross of Tennessee,Claim_Rejection,"Claim Rejected due to Missing Service Address Location:

1. Check in software to verify denial status
   - If denial found, proceed to step 2
   - If no denial found, proceed to step 2

2. Check in Waystar to investigate rejection
   - Confirm rejection reason (missing service address location)
   - Note rejection date

3. Review previously paid invoice to find service location
   - If found, note the service location address
   - If not found, proceed to step 4

4. Check claim form to verify service location information
   - If information available in box 32, proceed to step 5
   - If no information available in box 32, proceed to step 5

5. Review in Availity to check member's status
   - Confirm member is active for the DOS

6. Update service location address in software
   - Use address found in step 3 or obtained from other sources

7. Resubmit fresh claim
   - Through software, adding the updated service location address

8. If claim still rejected after resubmission:
   - Review all steps taken
   - Consult with supervisor for further action

9. For claims rejected due to incorrect billing address:
   - Check claim form for billed address
   - Review similar claim history in software
   - If initially rejected for incorrect address but later paid after change, proceed to step 10
   - If no successful resolution found, proceed to step 11

10. For potential address correction:
   - Task client to confirm correct billing address
   - Wait for client response before resubmitting

11. For persistent issues:
   - Consider filing an appeal with necessary documentation
   - Consult with supervisor for specialized guidance

12. Document all actions taken in claim notes
   - Include dates, software used, and any communication with the client or payer

13. Set follow-up task to check claim status after resubmission
   - If accepted, close the claim
   - If rejected again, restart the process from step 2"
70,Cigna,Claim_Rejection,"Claim Rejected due to Invalid Diagnosis Code

1. Review claim information in software
   - If claim information found, proceed to step 2
   - If claim information not found, proceed to step 3

2. Check claim status in Waystar
   - Verify rejection reason (invalid diagnosis code)
   - Note the rejection date

3. Review patient document and claim form
   - Verify diagnosis code
   - Check if diagnosis code is billed correctly

4. Review payment history in software
   - If previous claims with same diagnosis code were paid, proceed to step 5
   - If no payment received for similar codes, proceed to step 6

5. For paid diagnosis codes:
   - Call Cigna to confirm policy effectiveness and patient eligibility
   - If eligible, task client to submit a corrected claim with the previously used valid diagnosis code

6. For invalid diagnosis codes:
   - Call Cigna to verify patient eligibility and policy effectiveness
   - If eligible, task client to submit a fresh claim with a valid diagnosis code

7. For claims with incorrect patient information:
   - Review claim form and medical portal for correct patient details
   - Call Cigna to confirm patient eligibility and effective date
   - Task client to resubmit the claim with correct patient information
   - Provide mailing address: PO Box 182223, Chattanooga, TN 37422-7223
   - Note Payer ID: 62308

8. For claims with no response received:
   - Review all previous steps
   - If all information correct, call Cigna to inquire about submission requirements
   - If issues found, proceed to relevant steps (2-7)

9. General actions:
   - For all scenarios, upload all relevant documents to Vital Systems
   - Monitor caretrend for any updates or responses

10. Timely Filing Limit:
    - Note that timely filing limit is 90 days from DOS for resubmissions

11. Special Cases:
    - For T8131XA diagnosis code, verify payment history and proceed accordingly
    - For B962 diagnosis code, follow steps 2-10

12. Final Steps:
    - If diagnosis code correction is needed, task client to submit corrected claim
    - If fresh claim required, BKTask the claim to the client with instructions
    - For all scenarios, raise awareness with the client on the importance of valid diagnosis codes"
71,PPO One - United Healthcare Choice Plus,Authorization issue,"Claim denied due to authorization issue:

1. Review claim status in software
   - Check if claim was submitted and partially paid

2. Verify EOB availability in Waystar
   - If EOB not available, proceed to next step

3. Check claim processing status in UHC Provider's Portal
   - Note the processing date

4. Check for valid authorization
   - Review authorization documents in file
   - If valid authorization found, proceed to step 6
   - If no valid authorization found, proceed to step 5

5. Verify new authorization
   - Check for new authorization in software
   - If new authorization found, proceed to step 6
   - If no new authorization found, proceed to step 6

6. Chat with UHC representative
   - Confirm validity of authorization
   - Verify if new authorization is valid

7. If authorization is still an issue:
   - Submit reconsideration with claim form and authorization document via UHC portal
   - Note the ticket number for the reconsideration

8. Check reconsideration status
   - If reconsideration is upheld, proceed to step 9
   - If reconsideration is approved, claim is paid

9. If reconsideration is upheld:
   - Submit an appeal
   - Note the appeal ticket number

10. For claims requiring appeal:
    - Gather all relevant documentation
    - Submit appeal through appropriate channels

11. If claim is still not resolved:
    - Contact UHC student resources
    - Verify member's status and correct payer ID

12. If member is active and primary:
    - Note that no authorization is required for codes other than drugs

13. If member is not active or not primary:
    - Request correct Member ID from UHC

14. If claim needs to be billed separately:
    - Task the client to bill the claim separately to Payer ID #74227

15. For all actions:
    - Document all steps taken in the claim notes
    - Upload any relevant documents to Vital Systems

16. If claim is not resolved within 180 days from DOS:
    - Consider writing off the claim

17. Monitor claim status regularly until resolution
    - Check UHC portal and software weekly

18. If additional information is needed:
    - Request information from the client or provider

19. For future reference:
    - Update the authorization process in the software
    - Note any special requirements for UHC (e.g., student resources, separate payer ID)"
72,Meritain Health- Aetna Choice POS,Claim not on file,"Claim Pending (CPN) Scenario Flowchart:

1. Review claim in software
   - If denial reason found, proceed to step 3
   - If no denial reason found, proceed to step 2

2. Check in Waystar for EOB
   - If EOB found, note the reason and proceed to step 4
   - If no EOB found, proceed to step 3

3. Call Meritain Health-Aetna Choice POS
   - Inquire about claim status and denial reason
   - Note the claim status and denial reason

4. If claim is denied due to missing information:
   - Identify the specific missing information (e.g., medical records, clinical records, UPN)
   - Proceed to step 5

5. Review software for available medical records
   - If medical records found, proceed to step 7
   - If medical records not found, proceed to step 6

6. Check for availability of other documents (e.g., lab reports, RX)
   - If found, note the type and proceed to step 7
   - If not found, proceed to step 7

7. Task the client to provide missing documents
   - Specify the type of documents needed
   - Provide fax information if applicable

8. If documents are obtained:
   - Submit an appeal with medical records through fax
   - Use the provided fax number and timely filing limit (TFL)

9. If documents are not obtained within a reasonable timeframe:
   - Submit an appeal without medical records
   - Explain the circumstances in the appeal

10. For claims with specific HCPCS codes (e.g., J0696, J0878, S9370, S9379):
    - Follow steps 1-9
    - Additionally, verify if the service is covered according to plan benefit documents

11. Monitor the claim status
    - If the claim is processed within a timely manner, no further action needed
    - If the claim remains pending, repeat steps 3-10 as necessary

12. If the claim is denied after appeal:
    - Review the denial reason
    - If new information is required, repeat steps 3-11
    - If all information provided, proceed to step 13

13. Escalate to supervisor or specialized team
    - Provide all documentation and claim history
    - Request further guidance on processing"
73,VA CCN Optum,Authorization issue,"Claim denied due to Authorization issue:

1. Review claim status in software (e.g., Caretend, Payspan).
2. Check Waystar for EOB (if available).
3. Call VA CCN Optum to inquire about claim status.
4. If claim is processed and denied:
   a. Verify the denial reason (e.g., CO-197, Precertification/authorization/notification absent).
   b. Check patient documents for valid authorization.
   c. If valid authorization found:
      i. Send corrected claim with valid authorization information.
      ii. Use correct address: PO Box 202118, Florence, SC 29502.
      iii. Use fax number: 833-376-3047.
      iv. Use payer ID: VACCN.
   d. If no valid authorization found:
      i. Task client to submit corrected claim with valid authorization.
      ii. Request valid authorization for the specific DOS.
5. If claim is denied due to invalid or absent referral:
   a. Verify if a valid referral exists in patient documents.
   b. If valid referral found:
      i. Send corrected claim with the valid referral information.
   c. If no valid referral found:
      i. Task client to obtain a valid referral.
      ii. Instruct client on how to submit corrected claim with valid referral.
6. If claim is denied due to non-covered procedure code:
   a. Check if other DOS were paid for the same code.
   b. If no other payments found:
      i. Ask for alternative code that covers under Medicare guidelines.
      ii. Instruct client to change the code and resubmit as a corrected claim.
   c. If alternative code available:
      i. Task client to change the code and resubmit the claim.
7. If claim is not found on file despite patient enrollment:
   a. Call VA CCN Optum to verify claim status.
   b. If claim not found, submit as a new claim with correct member ID.
   c. Use the appropriate submission method (e.g., Caretend, mail).
8. For per diem code denials (e.g., S9500, S9328):
   a. Verify if the code is listed in the referral or valid authorization.
   b. If not listed, task client to bill the code under Medicare guidelines or obtain valid authorization.
   c. If listed, proceed with steps 4-6 as appropriate.
9. If JW modifier is present and causing denial:
   a. Check NDC units and quantity.
   b. Remove JW modifier if unnecessary.
   c. Resubmit claim with corrected coding.
10. For claims with multiple denial reasons:
    a. Address each reason separately following the above steps.
    b. Prioritize addressing the most critical reason first.
11. If all attempts to resolve the denial are unsuccessful:
    a. Escalate to a supervisor for further guidance.
    b. Consider filing an appeal with necessary documentation.
12. Document all actions taken in the claim notes for future reference."
